wl,n
0.299,0.192
0.300,0.193
0.300,0.194
0.301,0.194
0.302,0.195
0.302,0.196
0.303,0.197
0.304,0.198
0.305,0.198
0.305,0.199
0.306,0.200
0.307,0.201
0.308,0.202
0.308,0.202
0.309,0.203
0.310,0.204
0.311,0.205
0.312,0.206
0.312,0.207
0.313,0.207
0.314,0.208
0.315,0.209
0.316,0.210
0.316,0.211
0.317,0.212
0.318,0.213
0.319,0.214
0.320,0.214
0.320,0.215
0.321,0.216
0.322,0.217
0.323,0.218
0.324,0.219
0.325,0.220
0.325,0.221
0.326,0.222
0.327,0.223
0.328,0.224
0.329,0.225
0.330,0.226
0.331,0.227
0.332,0.228
0.332,0.229
0.333,0.230
0.334,0.231
0.335,0.232
0.336,0.233
0.337,0.234
0.338,0.235
0.339,0.236
0.340,0.237
0.341,0.238
0.342,0.240
0.343,0.241
0.343,0.242
0.344,0.243
0.345,0.244
0.346,0.245
0.347,0.246
0.348,0.248
0.349,0.249
0.350,0.250
0.351,0.251
0.352,0.252
0.353,0.254
0.354,0.255
0.355,0.256
0.356,0.257
0.357,0.259
0.358,0.260
0.359,0.261
0.360,0.262
0.362,0.264
0.363,0.265
0.364,0.266
0.365,0.268
0.366,0.269
0.367,0.270
0.368,0.272
0.369,0.273
0.370,0.275
0.371,0.276
0.372,0.277
0.373,0.279
0.375,0.280
0.376,0.282
0.377,0.283
0.378,0.285
0.379,0.286
0.380,0.288
0.382,0.289
0.383,0.291
0.384,0.292
0.385,0.294
0.386,0.296
0.388,0.297
0.389,0.299
0.390,0.301
0.391,0.302
0.392,0.304
0.394,0.306
0.395,0.307
0.396,0.309
0.397,0.311
0.399,0.313
0.400,0.314
0.401,0.316
0.403,0.318
0.404,0.320
0.405,0.322
0.407,0.324
0.408,0.326
0.409,0.327
0.411,0.329
0.412,0.331
0.413,0.333
0.415,0.335
0.416,0.337
0.418,0.340
0.419,0.342
0.420,0.344
0.422,0.346
0.423,0.348
0.425,0.350
0.426,0.352
0.428,0.355
0.429,0.357
0.431,0.359
0.432,0.361
0.434,0.364
0.435,0.366
0.437,0.369
0.438,0.371
0.440,0.373
0.441,0.376
0.443,0.378
0.444,0.381
0.446,0.384
0.448,0.386
0.449,0.389
0.451,0.392
0.453,0.394
0.454,0.397
0.456,0.400
0.458,0.403
0.459,0.406
0.461,0.408
0.463,0.411
0.464,0.414
0.466,0.417
0.468,0.420
0.470,0.424
0.471,0.427
0.473,0.430
0.475,0.433
0.477,0.436
0.479,0.440
0.481,0.443
0.482,0.447
0.484,0.450
0.486,0.454
0.488,0.457
0.490,0.461
0.492,0.465
0.494,0.468
0.496,0.472
