wl,n
0.2900,1.440
0.3000,1.453
0.3100,1.454
0.3200,1.437
0.3300,1.401
0.3400,1.350
0.3500,1.292
0.3600,1.238
0.3700,1.193
0.3800,1.156
0.3900,1.126
0.4000,1.098
0.4100,1.072
0.4200,1.047
0.4300,1.024
0.4400,1.002
0.4500,0.980
0.4600,0.959
0.4700,0.937
0.4800,0.912
0.4900,0.883
0.5000,0.846
0.5100,0.798
0.5200,0.738
0.5300,0.667
0.5400,0.592
0.5500,0.519
0.5600,0.457
0.5700,0.409
0.5800,0.377
0.5900,0.357
0.6000,0.346
0.6100,0.339
0.6200,0.333
0.6300,0.327
0.6400,0.323
0.6500,0.320
0.6600,0.317
0.6700,0.314
0.6800,0.311
0.6900,0.308
0.7000,0.306
0.7100,0.305
0.7200,0.304
0.7300,0.302
0.7400,0.300
0.7500,0.298
0.7600,0.296
0.7700,0.294
0.7800,0.293
0.7900,0.293
0.8000,0.291
0.8100,0.287
0.8200,0.283
0.8300,0.280
0.8400,0.279
0.8500,0.278
0.8600,0.279
0.8700,0.279
0.8800,0.280
0.8900,0.284
0.9000,0.289
0.9100,0.293

wl,k
0.2900,1.451
0.3000,1.449
0.3100,1.438
0.3200,1.424
0.3300,1.415
0.3400,1.420
0.3500,1.443
0.3600,1.483
0.3700,1.534
0.3800,1.587
0.3900,1.641
0.4000,1.693
0.4100,1.745
0.4200,1.796
0.4300,1.847
0.4400,1.897
0.4500,1.945
0.4600,1.990
0.4700,2.033
0.4800,2.073
0.4900,2.108
0.5000,2.140
0.5100,2.173
0.5200,2.211
0.5300,2.262
0.5400,2.329
0.5500,2.415
0.5600,2.516
0.5700,2.626
0.5800,2.739
0.5900,2.848
0.6000,2.950
0.6100,3.046
0.6200,3.137
0.6300,3.226
0.6400,3.312
0.6500,3.396
0.6600,3.478
0.6700,3.558
0.6800,3.638
0.6900,3.717
0.7000,3.795
0.7100,3.872
0.7200,3.947
0.7300,4.022
0.7400,4.097
0.7500,4.171
0.7600,4.245
0.7700,4.320
0.7800,4.394
0.7900,4.466
0.8000,4.537
0.8100,4.609
0.8200,4.682
0.8300,4.757
0.8400,4.833
0.8500,4.908
0.8600,4.983
0.8700,5.057
0.8800,5.133
0.8900,5.208
0.9000,5.280
0.9100,5.350
