wl,n
0.3,1.347459987
0.31,1.321473211
0.32,1.301896917
0.33,1.278815346
0.34,1.257856058
0.35,1.229714372
0.36,1.205793784
0.37,1.183134074
0.38,1.16577487
0.39,1.139929606
0.4,1.119339006
0.41,1.097661459
0.42,1.082884327
0.43,1.067185209
0.44,1.056310845
0.45,1.048210496
0.46,1.044058354
0.47,1.040826414
0.48,1.040383818
0.49,1.035622719
0.5,1.0292166
0.51,1.01596237
0.52,0.995463808
0.53,0.957525814
0.54,0.896412084
0.55,0.79745994
0.56,0.649913539
0.57,0.467667795
0.58,0.308052581
0.59,0.206477543
0.6,0.15342929
0.61,0.129738592
0.62,0.116677068
0.63,0.110069919
0.64,0.107194012
0.65,0.104232496
0.66,0.102539467
0.67,0.102449402
0.68,0.101216009
0.69,0.101603953
0.7,0.101236908
0.71,0.101557633
0.72,0.101132194
0.73,0.100848965
0.74,0.100919789
0.75,0.101173963
0.76,0.101837799
0.77,0.101672055
0.78,0.104166566
0.79,0.10154611
0.8,0.105089997
0.81,0.105640925
0.82,0.1047717
0.83,0.108065424
0.84,0.106329275
0.85,0.106803015
0.86,0.10806138
0.87,0.109423947
0.88,0.109226995
0.89,0.110739052
0.9,0.111474071
0.91,0.110565481

wl,k
0.3,1.679419071
0.31,1.740141215
0.32,1.781554261
0.33,1.816251273
0.34,1.857525737
0.35,1.895968733
0.36,1.941169403
0.37,1.99326522
0.38,2.046321345
0.39,2.090129064
0.4,2.14224644
0.41,2.193481406
0.42,2.251163803
0.43,2.306769228
0.44,2.361946782
0.45,2.413637347
0.46,2.464134299
0.47,2.50896784
0.48,2.549587906
0.49,2.577676166
0.5,2.600958825
0.51,2.610628188
0.52,2.613856957
0.53,2.60358516
0.54,2.584135179
0.55,2.56420404
0.56,2.566649101
0.57,2.633707115
0.58,2.774526337
0.59,2.953105649
0.6,3.124794481
0.61,3.28082796
0.62,3.422223479
0.63,3.546563885
0.64,3.666809315
0.65,3.775693898
0.66,3.879628119
0.67,3.981770445
0.68,4.082308744
0.69,4.175083635
0.7,4.27062629
0.71,4.365353818
0.72,4.453675754
0.73,4.541494304
0.74,4.632837662
0.75,4.718605321
0.76,4.806908667
0.77,4.890330992
0.78,4.985764803
0.79,5.058785587
0.8,5.141307607
0.81,5.225721003
0.82,5.314412207
0.83,5.399044187
0.84,5.471682183
0.85,5.558363688
0.86,5.64355183
0.87,5.718126756
0.88,5.799390531
0.89,5.87326682
0.9,5.957887752
0.91,6.04212088
