wl,n
2.9862e-01,2.8005e+00
3.0152e-01,2.8246e+00
3.0447e-01,2.8436e+00
3.0749e-01,2.8578e+00
3.1056e-01,2.8675e+00
3.1370e-01,2.8732e+00
3.1690e-01,2.8751e+00
3.2017e-01,2.8738e+00
3.2350e-01,2.8697e+00
3.2691e-01,2.8631e+00
3.3039e-01,2.8544e+00
3.3394e-01,2.8441e+00
3.3757e-01,2.8324e+00
3.4128e-01,2.8197e+00
3.4507e-01,2.8062e+00
3.4895e-01,2.7922e+00
3.5291e-01,2.7779e+00
3.5697e-01,2.7635e+00
3.6112e-01,2.7492e+00
3.6537e-01,2.7352e+00
3.6971e-01,2.7216e+00
3.7417e-01,2.7084e+00
3.7873e-01,2.6959e+00
3.8341e-01,2.6841e+00
3.8820e-01,2.6730e+00
3.9311e-01,2.6629e+00
3.9815e-01,2.6536e+00
4.0332e-01,2.6453e+00
4.0863e-01,2.6380e+00
4.1408e-01,2.6318e+00
4.1967e-01,2.6266e+00
4.2542e-01,2.6226e+00
4.3133e-01,2.6196e+00
4.3740e-01,2.6178e+00
4.4365e-01,2.6172e+00
4.5008e-01,2.6176e+00
4.5670e-01,2.6193e+00
4.6351e-01,2.6221e+00
4.7054e-01,2.6260e+00
4.7777e-01,2.6310e+00
4.8524e-01,2.6372e+00
4.9294e-01,2.6444e+00
5.0089e-01,2.6528e+00
5.0910e-01,2.6621e+00
5.1759e-01,2.6724e+00
5.2636e-01,2.6837e+00
5.3543e-01,2.6959e+00
5.4482e-01,2.7090e+00
5.5455e-01,2.7229e+00
5.6463e-01,2.7375e+00
5.7509e-01,2.7528e+00
5.8594e-01,2.7688e+00
5.9720e-01,2.7853e+00
6.0891e-01,2.8023e+00
6.2109e-01,2.8198e+00
6.3376e-01,2.8377e+00
6.4697e-01,2.8558e+00
6.6073e-01,2.8742e+00
6.7509e-01,2.8928e+00
6.9009e-01,2.9116e+00
7.0577e-01,2.9305e+00
7.2218e-01,2.9496e+00
7.3938e-01,2.9687e+00
7.5741e-01,2.9879e+00
7.7634e-01,3.0073e+00
7.9624e-01,3.0268e+00
8.1719e-01,3.0466e+00
8.3927e-01,3.0667e+00
8.6258e-01,3.0872e+00
8.8723e-01,3.1081e+00
9.1332e-01,3.1298e+00

wl,k
2.9862e-01,1.8656e+00
3.0152e-01,1.8133e+00
3.0447e-01,1.7616e+00
3.0749e-01,1.7108e+00
3.1056e-01,1.6615e+00
3.1370e-01,1.6142e+00
3.1690e-01,1.5691e+00
3.2017e-01,1.5266e+00
3.2350e-01,1.4868e+00
3.2691e-01,1.4499e+00
3.3039e-01,1.4158e+00
3.3394e-01,1.3848e+00
3.3757e-01,1.3566e+00
3.4128e-01,1.3314e+00
3.4507e-01,1.3090e+00
3.4895e-01,1.2893e+00
3.5291e-01,1.2723e+00
3.5697e-01,1.2578e+00
3.6112e-01,1.2457e+00
3.6537e-01,1.2359e+00
3.6971e-01,1.2283e+00
3.7417e-01,1.2228e+00
3.7873e-01,1.2192e+00
3.8341e-01,1.2174e+00
3.8820e-01,1.2174e+00
3.9311e-01,1.2190e+00
3.9815e-01,1.2220e+00
4.0332e-01,1.2265e+00
4.0863e-01,1.2323e+00
4.1408e-01,1.2393e+00
4.1967e-01,1.2473e+00
4.2542e-01,1.2564e+00
4.3133e-01,1.2665e+00
4.3740e-01,1.2774e+00
4.4365e-01,1.2890e+00
4.5008e-01,1.3013e+00
4.5670e-01,1.3142e+00
4.6351e-01,1.3277e+00
4.7054e-01,1.3416e+00
4.7777e-01,1.3558e+00
4.8524e-01,1.3704e+00
4.9294e-01,1.3853e+00
5.0089e-01,1.4004e+00
5.0910e-01,1.4155e+00
5.1759e-01,1.4308e+00
5.2636e-01,1.4461e+00
5.3543e-01,1.4615e+00
5.4482e-01,1.4767e+00
5.5455e-01,1.4919e+00
5.6463e-01,1.5070e+00
5.7509e-01,1.5220e+00
5.8594e-01,1.5369e+00
5.9720e-01,1.5517e+00
6.0891e-01,1.5663e+00
6.2109e-01,1.5810e+00
6.3376e-01,1.5955e+00
6.4697e-01,1.6101e+00
6.6073e-01,1.6248e+00
6.7509e-01,1.6397e+00
6.9009e-01,1.6548e+00
7.0577e-01,1.6702e+00
7.2218e-01,1.6862e+00
7.3938e-01,1.7027e+00
7.5741e-01,1.7199e+00
7.7634e-01,1.7381e+00
7.9624e-01,1.7573e+00
8.1719e-01,1.7776e+00
8.3927e-01,1.7994e+00
8.6258e-01,1.8226e+00
8.8723e-01,1.8475e+00
9.1332e-01,1.8743e+00
