wl,n
0.2900,1.142
0.3000,1.155
0.3100,1.164
0.3200,1.179
0.3300,1.207
0.3400,1.234
0.3500,1.262
0.3600,1.296
0.3700,1.339
0.3800,1.390
0.3900,1.442
0.4000,1.492
0.4100,1.538
0.4200,1.583
0.4300,1.631
0.4400,1.682
0.4500,1.736
0.4600,1.790
0.4700,1.846
0.4800,1.903
0.4900,1.952
0.5000,1.996
0.5100,2.039
0.5200,2.080
0.5300,2.119
0.5400,2.156
0.5500,2.189
0.5600,2.219
0.5700,2.252
0.5800,2.281
0.5900,2.305
0.6000,2.328
0.6100,2.350
0.6200,2.370
0.6300,2.391
0.6400,2.408
0.6500,2.427
0.6600,2.448
0.6700,2.468
0.6800,2.486
0.6900,2.503
0.7000,2.519
0.7100,2.533
0.7200,2.549
0.7300,2.564
0.7400,2.577
0.7500,2.587
0.7600,2.597
0.7700,2.611
0.7800,2.623
0.7900,2.633
0.8000,2.649
0.8100,2.657
0.8200,2.666
0.8300,2.678
0.8400,2.689
0.8500,2.700
0.8600,2.713
0.8700,2.729
0.8800,2.742
0.8900,2.757
0.9000,2.766
0.9100,2.777

wl,k
0.2900,1.829
0.3000,1.902
0.3100,1.976
0.3200,2.061
0.3300,2.141
0.3400,2.217
0.3500,2.295
0.3600,2.375
0.3700,2.454
0.3800,2.526
0.3900,2.588
0.4000,2.644
0.4100,2.698
0.4200,2.753
0.4300,2.806
0.4400,2.858
0.4500,2.906
0.4600,2.949
0.4700,2.989
0.4800,3.019
0.4900,3.043
0.5000,3.067
0.5100,3.091
0.5200,3.113
0.5300,3.134
0.5400,3.153
0.5500,3.171
0.5600,3.190
0.5700,3.210
0.5800,3.223
0.5900,3.241
0.6000,3.259
0.6100,3.277
0.6200,3.297
0.6300,3.317
0.6400,3.336
0.6500,3.361
0.6600,3.383
0.6700,3.404
0.6800,3.423
0.6900,3.443
0.7000,3.463
0.7100,3.485
0.7200,3.507
0.7300,3.527
0.7400,3.549
0.7500,3.569
0.7600,3.595
0.7700,3.619
0.7800,3.642
0.7900,3.669
0.8000,3.693
0.8100,3.714
0.8200,3.741
0.8300,3.769
0.8400,3.795
0.8500,3.822
0.8600,3.852
0.8700,3.879
0.8800,3.903
0.8900,3.926
0.9000,3.948
0.9100,3.976
