wl,n
0.34440,1.17059
0.34925,1.19607
0.35424,1.21679
0.35937,1.24136
0.36466,1.27765
0.37010,1.32504
0.37571,1.37126
0.38149,1.41637
0.38745,1.47166
0.39360,1.52979
0.39995,1.58664
0.40651,1.65717
0.41328,1.71581
0.42029,1.79827
0.42753,1.86905
0.43503,1.95301
0.44280,2.03525
0.45085,2.11192
0.45920,2.18315
0.46786,2.25385
0.47686,2.30983
0.48621,2.36141
0.49594,2.40388
0.50606,2.44112
0.51660,2.47301
0.52759,2.49592
0.53906,2.51876
0.55104,2.54683
0.56356,2.56955
0.57667,2.58356
0.59040,2.59756
0.60480,2.60618
0.61992,2.60294
0.63582,2.59430
0.65255,2.57157
0.67018,2.52934
0.68880,2.45892
0.70848,2.37327
0.72932,2.27887
0.75142,2.18180
0.77490,2.09878
0.79990,2.01129
0.82656,1.95830
0.85506,1.91905
0.88560,1.88041
0.91840,1.85222

wl,k
0.34440,3.45981
0.34925,3.51149
0.35424,3.57499
0.35937,3.62505
0.36466,3.67864
0.37010,3.73574
0.37571,3.79214
0.38149,3.84787
0.38745,3.90715
0.39360,3.95478
0.39995,4.00218
0.40651,4.04304
0.41328,4.07971
0.42029,4.11507
0.42753,4.14649
0.43503,4.17304
0.44280,4.17639
0.45085,4.19049
0.45920,4.19120
0.46786,4.19283
0.47686,4.19944
0.48621,4.19241
0.49594,4.18074
0.50606,4.17841
0.51660,4.18518
0.52759,4.18684
0.53906,4.18857
0.55104,4.18167
0.56356,4.18361
0.57667,4.18028
0.59040,4.17700
0.60480,4.18237
0.61992,4.16837
0.63582,4.16298
0.65255,4.16088
0.67018,4.17104
0.68880,4.18883
0.70848,4.23467
0.72932,4.30038
0.75142,4.40003
0.77490,4.55026
0.79990,4.74819
0.82656,4.95328
0.85506,5.18486
0.88560,5.39777
0.91840,5.64187
