wl,n
0.29520,0.50656
0.30996,0.54187
0.32627,0.58934
0.34440,0.64425
0.36466,0.71303
0.38745,0.79824
0.41328,0.89800
0.44280,1.02698
0.47686,1.18600
0.51660,1.38332
0.56356,1.62088
0.61992,1.90988
0.68880,2.28417
0.77490,2.74611
0.88560,3.32380
1.03320,4.05007

wl,k
0.29520,2.34128
0.30996,2.50152
0.32627,2.66483
0.34440,2.85991
0.36466,3.07350
0.38745,3.29351
0.41328,3.53785
0.44280,3.80193
0.47686,4.08981
0.51660,4.40608
0.56356,4.75050
0.61992,5.14953
0.68880,5.58189
0.77490,6.05402
0.88560,6.55726
1.03320,7.08259
