wl,n
0.292,2.03
0.301,2.02
0.311,2.01
0.320,1.93
0.332,1.84
0.342,1.78
0.354,1.74
0.368,1.70
0.381,1.72
0.397,1.72
0.413,1.70
0.431,1.71
0.451,1.73
0.471,1.78
0.496,1.82
0.521,1.85
0.549,1.92
0.582,1.96
0.617,1.99
0.659,1.99
0.704,2.06
0.756,2.13
0.821,2.26
0.892,2.40
0.984,2.48

wl,k
0.292,2.20
0.301,2.18
0.311,2.18
0.320,2.19
0.332,2.22
0.342,2.26
0.354,2.32
0.368,2.40
0.381,2.48
0.397,2.57
0.413,2.69
0.431,2.82
0.451,2.95
0.471,3.09
0.496,3.25
0.521,3.42
0.549,3.61
0.582,3.80
0.617,4.02
0.659,4.26
0.704,4.50
0.756,4.73
0.821,4.97
0.892,5.23
0.984,5.55
