wl,n
0.299510895,1.160753
0.301107483,1.16252
0.302704071,1.164367
0.30430069,1.166287
0.305897278,1.168274
0.307493866,1.170319
0.309090485,1.172414
0.310687073,1.17455
0.312283661,1.176718
0.31388028,1.178908
0.315476868,1.18111
0.317073456,1.183312
0.318670044,1.185501
0.320266632,1.187673
0.32186322,1.189845
0.323459808,1.192036
0.325056396,1.194264
0.326652954,1.196549
0.328249542,1.19891
0.32984613,1.201366
0.331442688,1.203936
0.333039246,1.206635
0.334635773,1.209482
0.33623233,1.212493
0.337828857,1.215683
0.339425385,1.219069
0.341021912,1.222666
0.342618439,1.226489
0.344214935,1.230555
0.345811462,1.234881
0.347407928,1.239485
0.349004425,1.244354
0.350600891,1.249462
0.352197357,1.254779
0.353793793,1.260273
0.355390259,1.265915
0.356986664,1.271675
0.358583099,1.277525
0.360179504,1.283435
0.361775909,1.289379
0.363372284,1.29533
0.364968658,1.301263
0.366565002,1.307152
0.368161346,1.312973
0.36975766,1.318703
0.371353973,1.324319
0.372950287,1.329798
0.37454657,1.335118
0.376142853,1.340257
0.377739075,1.345191
0.379335327,1.349896
0.380931549,1.354347
0.382527771,1.358547
0.384123932,1.362512
0.385720093,1.36626
0.387316223,1.369811
0.388912384,1.373186
0.390508484,1.376403
0.392104553,1.379484
0.393700623,1.382447
0.395296692,1.385313
0.396892731,1.388101
0.398488708,1.390828
0.400084717,1.393514
0.401680695,1.396175
0.403276642,1.398829
0.404872559,1.401493
0.406468445,1.404182
0.408064331,1.406913
0.409660156,1.4097
0.411256012,1.412558
0.412851807,1.415501
0.414447571,1.418544
0.416043304,1.4217
0.417639069,1.424983
0.419234772,1.428408
0.420830414,1.431988
0.422426086,1.435734
0.424021729,1.439639
0.425617279,1.443697
0.427212891,1.447898
0.428808411,1.452233
0.4304039,1.456693
0.43199942,1.461269
0.433594818,1.465951
0.435190277,1.47073
0.436785645,1.475597
0.438381012,1.480542
0.439976379,1.485558
0.441571625,1.490635
0.443166931,1.495766
0.444762146,1.500941
0.446357361,1.506154
0.447952545,1.511397
0.449547668,1.516661
0.451142761,1.521941
0.452737854,1.527228
0.454332855,1.532516
0.455927887,1.537799
0.457522858,1.543069
0.459117767,1.548321
0.460712708,1.553548
0.462307556,1.558744
0.463902405,1.563904
0.465497162,1.569021
0.467091888,1.574089
0.468686615,1.579103
0.470281311,1.584056
0.471875916,1.588942
0.47347052,1.593758
0.475065094,1.598507
0.476659607,1.603191
0.478254089,1.607813
0.479848541,1.612376
0.481442932,1.616882
0.483037292,1.621336
0.484631592,1.625739
0.486225891,1.630095
0.487820129,1.634407
0.489414307,1.638677
0.491008453,1.64291
0.492602539,1.647107
0.494196625,1.651272
0.495790619,1.655406
0.497384613,1.659514
0.498978516,1.663597
0.500572418,1.667659
0.50216626,1.6717
0.503760071,1.675725
0.505353821,1.679735
0.50694751,1.683733
