wl,n
0.299,1.45002
0.300,1.45276
0.301,1.45664
0.302,1.46225
0.303,1.47027
0.304,1.48096
0.305,1.49144
0.306,1.48851
0.307,1.46385
0.308,1.42768
0.309,1.38651
0.310,1.34224
0.311,1.29526
0.312,1.24533
0.313,1.19191
0.314,1.13417
0.315,1.07131
0.316,1.00429
0.317,0.93754
0.318,0.87367
0.319,0.81219
0.320,0.75220
0.321,0.69311
0.322,0.63466
0.323,0.57696
0.324,0.52059
0.325,0.46658
0.326,0.41629
0.327,0.37103
0.328,0.33155
0.329,0.29787
0.330,0.26946
0.331,0.24555
0.332,0.22533
0.333,0.20810
0.334,0.19330
0.335,0.18046
0.336,0.16923
0.337,0.15933
0.338,0.15053
0.339,0.14267
0.340,0.13560
0.341,0.12921
0.342,0.12340
0.343,0.11810
0.344,0.11324
0.345,0.10878
0.346,0.10466
0.347,0.10084
0.348,0.09730
0.349,0.09401
0.350,0.09094
0.351,0.08807
0.352,0.08538
0.353,0.08286
0.354,0.08049
0.355,0.07825
0.356,0.07615
0.357,0.07416
0.358,0.07228
0.359,0.07050
0.360,0.06881
0.361,0.06720
0.362,0.06568
0.363,0.06423
0.364,0.06285
0.365,0.06153
0.366,0.06027
0.367,0.05907
0.368,0.05793
0.369,0.05683
0.370,0.05578
0.371,0.05478
0.372,0.05381
0.373,0.05289
0.374,0.05200
0.375,0.05115
0.376,0.05033
0.377,0.04954
0.378,0.04879
0.379,0.04806
0.380,0.04736
0.381,0.04668
0.382,0.04603
0.383,0.04540
0.384,0.04480
0.385,0.04421
0.386,0.04365
0.387,0.04310
0.388,0.04258
0.389,0.04207
0.390,0.04158
0.391,0.04110
0.392,0.04064
0.393,0.04020
0.394,0.03977
0.395,0.03935
0.396,0.03895
0.397,0.03856
0.398,0.03818
0.399,0.03781
0.400,0.03745
0.401,0.03711
0.402,0.03678
0.403,0.03645
0.404,0.03614
0.405,0.03583
0.406,0.03553
0.407,0.03525
0.408,0.03497
0.409,0.03470
0.410,0.03443
0.411,0.03418
0.412,0.03393
0.413,0.03369
0.414,0.03345
0.415,0.03323
0.416,0.03300
0.417,0.03279
0.418,0.03258
0.419,0.03238
0.420,0.03218
0.421,0.03199
0.422,0.03180
0.423,0.03162
0.424,0.03145
0.425,0.03127
0.426,0.03111
0.427,0.03095
0.428,0.03079
0.429,0.03064
0.430,0.03049
0.431,0.03034
0.432,0.03020
0.433,0.03006
0.434,0.02993
0.435,0.02980
0.436,0.02968
0.437,0.02955
0.438,0.02944
0.439,0.02932
0.440,0.02921
0.441,0.02910
0.442,0.02899
0.443,0.02889
0.444,0.02879
0.445,0.02870
0.446,0.02860
0.447,0.02851
0.448,0.02842
0.449,0.02834
0.450,0.02825
0.451,0.02817
0.452,0.02809
0.453,0.02802
0.454,0.02794
0.455,0.02787
0.456,0.02780
0.457,0.02773
0.458,0.02767
0.459,0.02761
0.460,0.02755
0.461,0.02749
0.462,0.02743
0.463,0.02738
0.464,0.02732
0.465,0.02727
0.466,0.02722
0.467,0.02717
0.468,0.02713
0.469,0.02708
0.470,0.02704
0.471,0.02700
0.472,0.02696
0.473,0.02692
0.474,0.02689
0.475,0.02685
0.476,0.02682
0.477,0.02679
0.478,0.02676
0.479,0.02673
0.480,0.02670
0.481,0.02667
0.482,0.02665
0.483,0.02663
0.484,0.02660
0.485,0.02658
0.486,0.02656
0.487,0.02654
0.488,0.02653
0.489,0.02651
0.490,0.02650
0.491,0.02648
0.492,0.02647
0.493,0.02646
0.494,0.02645
0.495,0.02644
0.496,0.02643
0.497,0.02642
0.498,0.02642
0.499,0.02641
0.500,0.02641
0.501,0.02640
0.502,0.02640
0.503,0.02640
0.504,0.02640
0.505,0.02640
0.506,0.02640
0.507,0.02640
0.508,0.02640
0.509,0.02641
0.510,0.02641
0.511,0.02642
0.512,0.02642
0.513,0.02643
0.514,0.02644
0.515,0.02645
0.516,0.02646
0.517,0.02647
0.518,0.02648
0.519,0.02649
0.520,0.02650
0.521,0.02651
0.522,0.02653
0.523,0.02654
0.524,0.02656
0.525,0.02657
0.526,0.02659
0.527,0.02661
0.528,0.02662
0.529,0.02664
0.530,0.02666
0.531,0.02668
0.532,0.02670
0.533,0.02672
0.534,0.02675
0.535,0.02677
0.536,0.02679
0.537,0.02681
0.538,0.02684
0.539,0.02686
0.540,0.02689
0.541,0.02691
0.542,0.02694
0.543,0.02697
0.544,0.02699
0.545,0.02702
0.546,0.02705
0.547,0.02708
0.548,0.02711
0.549,0.02714
0.550,0.02717
0.551,0.02720
0.552,0.02723
0.553,0.02726
0.554,0.02730
0.555,0.02733
0.556,0.02736
0.557,0.02740
0.558,0.02743
0.559,0.02747
0.560,0.02750
0.561,0.02754
0.562,0.02757
0.563,0.02761
0.564,0.02765
0.565,0.02769
0.566,0.02772
0.567,0.02776
0.568,0.02780
0.569,0.02784
0.570,0.02788
0.571,0.02792
0.572,0.02796
0.573,0.02800
0.574,0.02804
0.575,0.02808
0.576,0.02813
0.577,0.02817
0.578,0.02821
0.579,0.02826
0.580,0.02830
0.581,0.02834
0.582,0.02839
0.583,0.02843
0.584,0.02848
0.585,0.02852
0.586,0.02857
0.587,0.02862
0.588,0.02866
0.589,0.02871
0.590,0.02876
0.591,0.02881
0.592,0.02885
0.593,0.02890
0.594,0.02895
0.595,0.02900
0.596,0.02905
0.597,0.02910
0.598,0.02915
0.599,0.02920
0.600,0.02925
0.601,0.02930
0.602,0.02935
0.603,0.02940
0.604,0.02946
0.605,0.02951
0.606,0.02956
0.607,0.02961
0.608,0.02967
0.609,0.02972
0.610,0.02977
0.611,0.02983
0.612,0.02988
0.613,0.02994
0.614,0.02999
0.615,0.03005
0.616,0.03010
0.617,0.03016
0.618,0.03022
0.619,0.03027
0.620,0.03033
0.621,0.03039
0.622,0.03044
0.623,0.03050
0.624,0.03056
0.625,0.03062
0.626,0.03068
0.627,0.03074
0.628,0.03079
0.629,0.03085
0.630,0.03091
0.631,0.03097
0.632,0.03103
0.633,0.03109
0.634,0.03116
0.635,0.03122
0.636,0.03128
0.637,0.03134
0.638,0.03140
0.639,0.03146
0.640,0.03152
0.641,0.03159
0.642,0.03165
0.643,0.03171
0.644,0.03178
0.645,0.03184
0.646,0.03190
0.647,0.03197
0.648,0.03203
0.649,0.03210
0.650,0.03216
0.651,0.03223
0.652,0.03229
0.653,0.03236
0.654,0.03242
0.655,0.03249
0.656,0.03255
0.657,0.03262
0.658,0.03269
0.659,0.03275
0.660,0.03282
0.661,0.03289
0.662,0.03296
0.663,0.03302
0.664,0.03309
0.665,0.03316
0.666,0.03323
0.667,0.03330
0.668,0.03336
0.669,0.03343
0.670,0.03350
0.671,0.03357
0.672,0.03364
0.673,0.03371
0.674,0.03378
0.675,0.03385
0.676,0.03392
0.677,0.03399
0.678,0.03407
0.679,0.03414
0.680,0.03421
0.681,0.03428
0.682,0.03435
0.683,0.03442
0.684,0.03450
0.685,0.03457
0.686,0.03464
0.687,0.03471
0.688,0.03479
0.689,0.03486
0.690,0.03493
0.691,0.03501
0.692,0.03508
0.693,0.03516
0.694,0.03523
0.695,0.03531
